transaction_id,cust_id,DOB,Gender,city_code,tran_date,prod_subcat,prod_subcat_code,prod_cat,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,city_name,State,Zip code,Return or sale,Year,Product_ID
81458995048,268447,7/14/1970,M,0,8/26/2013,Audio and video,10,Books,5,1,850,89.25,939.25,e-Shop,Omaha,Nebraska,68124,S,2013,5-10
38169306418,268709,9/9/1970,F,0,8/18/2013,Computers,5,Electronics,3,1,485,50.925,535.925,TeleShop,Omaha,Nebraska,68124,S,2013,3-5
50093131361,268447,7/14/1970,M,0,5/3/2013,Cameras,9,Electronics,3,5,879,461.475,4856.475,TeleShop,Omaha,Nebraska,68124,S,2013,3-9
86339422638,268447,7/14/1970,M,0,12/31/2012,Women,1,Bags,4,1,238,24.99,262.99,Flagship store,Omaha,Nebraska,68124,S,2012,4-1
42776379061,268447,7/14/1970,M,0,6/5/2012,Furnishing,2,Home and kitchen,6,2,296,62.16,654.16,TeleShop,Omaha,Nebraska,68124,S,2012,6-2
54265083960,268447,7/14/1970,M,0,2/24/2012,Computers,5,Electronics,3,1,564,59.22,623.22,Flagship store,Omaha,Nebraska,68124,S,2012,3-5
59692455676,268709,9/9/1970,F,0,6/30/2011,Audio and video,10,Electronics,3,4,1024,430.08,4526.08,TeleShop,Omaha,Nebraska,68124,S,2011,3-10
54423398469,268447,7/14/1970,M,0,5/3/2011,Children,11,Home and kitchen,6,3,745,234.675,2469.675,e-Shop,Omaha,Nebraska,68124,S,2011,6-11
25455265351,267750,10/13/1986,M,1,2/20/2014,Academic,12,Home and kitchen,6,3,1360,428.4,4508.4,e-Shop,Denver,Colorado,80202,S,2014,6-12
80381707658,269407,4/25/1978,F,1,2/19/2014,DIY,6,Books,5,5,573,300.825,3165.825,e-Shop,Denver,Colorado,80202,S,2014,5-6
58886320392,268715,2/27/1988,M,1,2/18/2014,Audio and video,10,Home and kitchen,6,2,768,161.28,1697.28,Flagship store,Denver,Colorado,80202,S,2014,6-10
74085729167,268492,2/17/1975,M,1,2/18/2014,Kids,3,Books,5,3,433,136.395,1435.395,e-Shop,Denver,Colorado,80202,S,2014,5-3
78091789730,271030,5/7/1979,M,1,2/18/2014,Mens,4,Clothing,1,1,380,39.9,419.9,e-Shop,Denver,Colorado,80202,S,2014,1-4
8709975598,269867,12/17/1970,F,1,2/16/2014,Children,11,Books,5,3,1243,391.545,4120.545,e-Shop,Denver,Colorado,80202,S,2014,5-11
76990911956,270148,8/3/1979,M,1,2/16/2014,Mens,4,Electronics,3,4,448,188.16,1980.16,Flagship store,Denver,Colorado,80202,S,2014,3-4
2934877504,271859,12/11/1988,F,1,2/14/2014,Kids,3,Footwear,2,4,1274,535.08,5631.08,Flagship store,Denver,Colorado,80202,S,2014,2-3
31183475305,273474,12/10/1977,F,1,2/14/2014,Cameras,9,Electronics,3,2,706,148.26,1560.26,e-Shop,Denver,Colorado,80202,S,2014,3-9
64655688681,268136,9/13/1974,M,1,2/14/2014,Women,1,Bags,4,5,153,80.325,845.325,TeleShop,Denver,Colorado,80202,S,2014,4-1
23525861068,268100,2/26/1991,M,1,2/12/2014,Women,1,Footwear,2,3,1318,415.17,4369.17,TeleShop,Denver,Colorado,80202,S,2014,2-1
55245382907,270810,1/3/1972,F,1,2/12/2014,Mens,4,Electronics,3,2,979,205.59,2163.59,TeleShop,Denver,Colorado,80202,S,2014,3-4
89214951500,273322,10/6/1983,F,1,2/12/2014,Academic,12,Home and kitchen,6,1,1166,122.43,1288.43,TeleShop,Denver,Colorado,80202,S,2014,6-12
26982813520,274048,2/11/1982,F,1,2/11/2014,Academic,12,Books,5,2,1410,296.1,3116.1,MBR,Denver,Colorado,80202,S,2014,5-12
16894888318,273946,3/3/1972,M,1,2/11/2014,Children,11,Home and kitchen,6,1,1238,129.99,1367.99,e-Shop,Denver,Colorado,80202,S,2014,6-11
48458724845,274880,1/4/1986,F,1,2/11/2014,Children,11,Books,5,4,431,181.02,1905.02,Flagship store,Denver,Colorado,80202,S,2014,5-11
