transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,item,type
80712190438,270351,2014-02-28,01,01,-5,-772,405.3,-4265.3,e-Shop,01-01,R
29258453508,270384,2014-02-27,05,03,-5,-1497,785.925,-8270.925,e-Shop,03-05,R
51750724947,273420,2014-02-24,06,05,-2,-791,166.11,-1748.11,TeleShop,05-06,R
93274880719,271509,2014-02-24,11,06,-3,-1363,429.345,-4518.345,e-Shop,06-11,R
51750724947,273420,2014-02-23,06,05,-2,-791,166.11,-1748.11,TeleShop,05-06,R
97439039119,272357,2014-02-23,08,03,-2,-824,173.04,-1821.04,TeleShop,03-08,R
45649838090,273667,2014-02-22,11,06,-1,-1450,152.25,-1602.25,e-Shop,06-11,R
22643667930,271489,2014-02-22,12,06,-1,-1225,128.625,-1353.625,TeleShop,06-12,R
79792372943,275108,2014-02-22,03,01,-3,-908,286.02,-3010.02,MBR,01-03,R
50076728598,269014,2014-02-21,08,03,-4,-581,244.02,-2568.02,e-Shop,03-08,R
29258453508,270384,2014-02-20,05,03,5,1497,785.925,8270.925,e-Shop,03-05,S
25455265351,267750,2014-02-20,12,06,3,1360,428.4,4508.4,e-Shop,06-12,S
1571002198,275023,2014-02-20,06,05,4,587,246.54,2594.54,e-Shop,05-06,S
43134751727,268487,2014-02-20,03,02,-1,-611,64.155,-675.155,e-Shop,02-03,R
36554696014,269345,2014-02-20,03,05,3,1253,394.695,4153.695,e-Shop,05-03,S
56814940239,268799,2014-02-20,07,05,5,368,193.2,2033.2,e-Shop,05-07,S
54295803788,270787,2014-02-20,12,05,5,584,306.6,3226.6,e-Shop,05-12,S
25963520987,274829,2014-02-20,04,04,3,502,158.13,1664.13,Flagship store,04-04,S
17183929085,266863,2014-02-20,01,02,1,1359,142.695,1501.695,TeleShop,02-01,S
44783317894,269452,2014-02-20,03,01,3,825,259.875,2734.875,TeleShop,01-03,S
58957828601,269009,2014-02-20,11,05,4,846,355.32,3739.32,TeleShop,05-11,S
9647515879,268934,2014-02-20,07,05,3,1384,435.96,4587.96,TeleShop,05-07,S
20781077773,269223,2014-02-20,05,03,3,1203,378.945,3987.945,TeleShop,03-05,S
91116291703,268509,2014-02-20,01,02,4,1243,522.06,5494.06,MBR,02-01,S
68325723297,268516,2014-02-20,09,03,1,877,92.085,969.085,e-Shop,03-09,S
73235813024,268774,2014-02-20,03,05,1,76,7.98,83.98,TeleShop,05-03,S
80712190438,270351,2014-02-20,01,01,5,772,405.3,4265.3,e-Shop,01-01,S
66989395597,272785,2014-02-20,10,03,2,474,99.54,1047.54,TeleShop,03-10,S
88853694830,268444,2014-02-20,04,04,-3,-80,25.2,-265.2,MBR,04-04,R
99581788104,267466,2014-02-20,03,02,1,96,10.08,106.08,Flagship store,02-03,S
28396777609,269101,2014-02-19,04,01,4,1386,582.12,6126.12,TeleShop,01-04,S
22391667321,270842,2014-02-19,01,02,5,723,379.575,3994.575,MBR,02-01,S
51075317246,274987,2014-02-19,10,06,5,374,196.35,2066.35,MBR,06-10,S
16199275450,275139,2014-02-19,04,02,1,173,18.165,191.165,MBR,02-04,S
22698449434,269136,2014-02-19,07,05,5,189,99.225,1044.225,TeleShop,05-07,S
13167171971,275149,2014-02-19,04,03,4,804,337.68,3553.68,MBR,03-04,S
32130400636,269772,2014-02-19,12,06,3,229,72.135,759.135,e-Shop,06-12,S
31384765864,267058,2014-02-19,03,02,1,793,83.265,876.265,e-Shop,02-03,S
85894118953,271817,2014-02-19,03,02,3,1401,441.315,4644.315,e-Shop,02-03,S
63407734630,271322,2014-02-19,03,02,5,1360,714.0,7514.0,Flagship store,02-03,S
90740728864,268229,2014-02-19,04,02,5,984,516.6,5436.6,TeleShop,02-04,S
82750983847,267544,2014-02-19,03,05,1,805,84.525,889.525,Flagship store,05-03,S
67328698675,268755,2014-02-19,03,02,1,1018,106.89,1124.89,Flagship store,02-03,S
80381707658,269407,2014-02-19,06,05,5,573,300.825,3165.825,e-Shop,05-06,S
78709566028,273023,2014-02-19,10,06,2,1052,220.92,2324.92,e-Shop,06-10,S
67079812295,271818,2014-02-19,10,03,2,1408,295.68,3111.68,MBR,03-10,S
72427583709,268129,2014-02-19,04,04,1,885,92.925,977.925,Flagship store,04-04,S
14259136777,274477,2014-02-18,10,03,1,1489,156.345,1645.345,TeleShop,03-10,S
7313351894,267568,2014-02-18,02,06,4,481,202.02,2126.02,Flagship store,06-02,S
37745642681,267098,2014-02-18,01,02,1,109,11.445,120.445,Flagship store,02-01,S
13861409908,271608,2014-02-18,01,02,2,1352,283.92,2987.92,MBR,02-01,S
58956348529,272484,2014-02-18,04,01,4,1443,606.06,6378.06,TeleShop,01-04,S
58886320392,268715,2014-02-18,10,06,2,768,161.28,1697.28,Flagship store,06-10,S
53081075361,273250,2014-02-18,11,06,5,1345,706.125,7431.125,Flagship store,06-11,S
10017543415,267097,2014-02-18,03,05,1,164,17.22,181.22,Flagship store,05-03,S
34065279733,274562,2014-02-18,06,05,2,280,58.8,618.8,e-Shop,05-06,S
58223423237,268138,2014-02-18,06,05,-3,-1398,440.37,-4634.37,e-Shop,05-06,R
74085729167,268492,2014-02-18,03,05,3,433,136.395,1435.395,e-Shop,05-03,S
83498320600,273359,2014-02-18,04,01,4,861,361.62,3805.62,e-Shop,01-04,S
83313344780,271288,2014-02-18,04,03,2,84,17.64,185.64,Flagship store,03-04,S
96923177403,270778,2014-02-18,11,06,5,1111,583.275,6138.275,MBR,06-11,S
78091789730,271030,2014-02-18,04,01,1,380,39.9,419.9,e-Shop,01-04,S
84466140532,274426,2014-02-18,06,05,5,423,222.075,2337.075,e-Shop,05-06,S
59232461135,269019,2014-02-17,04,02,2,479,100.59,1058.59,Flagship store,02-04,S
58223423237,268138,2014-02-17,06,05,3,1398,440.37,4634.37,e-Shop,05-06,S
60560888204,271250,2014-02-17,10,06,2,707,148.47,1562.47,Flagship store,06-10,S
22643667930,271489,2014-02-17,12,06,1,1225,128.625,1353.625,TeleShop,06-12,S
12161898302,274402,2014-02-17,01,02,-1,-891,93.555,-984.555,TeleShop,02-01,R
43561027610,270244,2014-02-17,08,03,1,728,76.44,804.44,e-Shop,03-08,S
40604748560,269387,2014-02-17,06,05,5,760,399.0,4199.0,Flagship store,05-06,S
8868056339,268145,2014-02-17,02,06,-2,-152,31.92,-335.92,e-Shop,06-02,R
78600072636,273067,2014-02-17,09,03,3,446,140.49,1478.49,TeleShop,03-09,S
79792372943,275108,2014-02-17,03,01,3,908,286.02,3010.02,MBR,01-03,S
94418788162,267559,2014-02-17,10,06,1,620,65.1,685.1,TeleShop,06-10,S
86635642295,271763,2014-02-17,12,06,5,562,295.05,3105.05,Flagship store,06-12,S
75980673312,270678,2014-02-17,07,05,4,1377,578.34,6086.34,TeleShop,05-07,S
88830495604,269018,2014-02-17,10,06,4,307,128.94,1356.94,MBR,06-10,S
19729968655,269162,2014-02-16,10,05,2,721,151.41,1593.41,e-Shop,05-10,S
8709975598,269867,2014-02-16,11,05,3,1243,391.545,4120.545,e-Shop,05-11,S
56483064719,270108,2014-02-16,04,03,2,1037,217.77,2291.77,e-Shop,03-04,S
55452156634,273734,2014-02-16,03,05,5,778,408.45,4298.45,e-Shop,05-03,S
22461440770,270294,2014-02-16,04,03,5,1060,556.5,5856.5,e-Shop,03-04,S
